model_label,latent,topic,var,coef,std_err,p_value
B_season,prevalence,1,Intercept,0.2500049786787003,0.03667477874977865,9.308459084223346e-12
B_season,prevalence,1,Reviewer_Score_z,-0.09854386216091028,0.008506486536113269,4.935221752603735e-31
B_season,prevalence,1,TripType_Leisure,0.021822064943524046,0.03321593847992893,0.5111965315413131
B_season,prevalence,1,Comp_Group,0.0033840104808708082,0.023011143522793966,0.8830849461194118
B_season,prevalence,1,Comp_Solo,0.0025161657279845944,0.024947401146943292,0.9196625241251781
B_season,prevalence,1,Comp_Family,0.030367741854124674,0.02681978845147708,0.2575131034964828
B_season,prevalence,1,Submit_Mobile,0.022279619090097628,0.0398953923680099,0.576536501255589
B_season,prevalence,1,Season_Spring,0.00662281922801888,0.023824316124863333,0.7810233349740986
B_season,prevalence,1,Season_Summer,-0.007675655243681627,0.02193278735838637,0.7263667673675367
B_season,prevalence,1,Season_Autumn,0.001265095911905833,0.024043884048671037,0.9580377720792951
B_season,prevalence,1,Reviews_Given_z,-0.013590147913491318,0.008969774205115601,0.1297458674234404
B_season,prevalence,1,TripType_Leisure:Submit_Mobile,-0.009181478490685561,0.04373452473994348,0.8337171370432701
B_season,sentiment,1,Intercept,-0.07072385278256399,0.039911634560632854,0.07639274244506489
B_season,sentiment,1,Reviewer_Score_z,0.42855191228489053,0.021978084815462245,1.1182666614804835e-84
B_season,sentiment,1,TripType_Leisure,-0.049126953818019625,0.03725347007917666,0.18726221944344001
B_season,sentiment,1,Comp_Group,-0.05744503659486659,0.03445637943730744,0.09547833034189995
B_season,sentiment,1,Comp_Solo,0.041190902947882184,0.02885689142583985,0.15345887947617767
B_season,sentiment,1,Comp_Family,-0.02002680784460861,0.02751115507188329,0.4666428032325368
B_season,sentiment,1,Submit_Mobile,-0.025604625663798133,0.04758026971946825,0.5904836008835939
B_season,sentiment,1,Season_Spring,0.009738864256452956,0.02639853533815061,0.7121897103270604
B_season,sentiment,1,Season_Summer,-0.003401684563207415,0.023473146894512187,0.8847755115359145
B_season,sentiment,1,Season_Autumn,-0.015912140057036877,0.026744071086888012,0.551858023618081
B_season,sentiment,1,Reviews_Given_z,0.005491748658963059,0.006743400042992436,0.41542232156025105
B_season,sentiment,1,TripType_Leisure:Submit_Mobile,0.06204138845848369,0.051899669208434154,0.23192684373185435
B_season,prevalence,2,Intercept,0.17654055845152267,0.02950306480228211,2.1798554823088733e-09
B_season,prevalence,2,Reviewer_Score_z,0.060547637916817575,0.0053795045231347025,2.1822044393256677e-29
B_season,prevalence,2,TripType_Leisure,-0.05844090751105561,0.028554948580213475,0.04069617129266269
B_season,prevalence,2,Comp_Group,0.021401688182504805,0.021076647659333383,0.30990479037666296
B_season,prevalence,2,Comp_Solo,-0.030350128366150548,0.01915802307166112,0.11314835323511303
B_season,prevalence,2,Comp_Family,-0.0340457419975638,0.01742857825184458,0.05076707214135868
B_season,prevalence,2,Submit_Mobile,-0.024200145511676707,0.03234205578388974,0.45430560556853083
B_season,prevalence,2,Season_Spring,-0.013065559932981625,0.017194601985659613,0.44733585143665466
B_season,prevalence,2,Season_Summer,-0.00480105968745616,0.017458048397167365,0.7833119969851842
B_season,prevalence,2,Season_Autumn,-0.0013392727010133072,0.018620532323823023,0.9426619827909225
B_season,prevalence,2,Reviews_Given_z,-0.00121064917999098,0.005573933637826875,0.828053771783164
B_season,prevalence,2,TripType_Leisure:Submit_Mobile,0.03250794731260749,0.03542201053799002,0.35875867667999617
B_season,sentiment,2,Intercept,0.06767779535125126,0.02244529904389409,0.002567823263873766
B_season,sentiment,2,Reviewer_Score_z,0.07618690503201853,0.006508721906352329,1.1965641329917496e-31
B_season,sentiment,2,TripType_Leisure,-0.0115170129470991,0.02163245888867887,0.5944524475410218
B_season,sentiment,2,Comp_Group,0.02878002380568887,0.01698887799422233,0.09025561408450156
B_season,sentiment,2,Comp_Solo,-0.010989417312457207,0.01586699700181194,0.4885631744023121
B_season,sentiment,2,Comp_Family,-0.023495064559675743,0.013607770044687478,0.0842409945697462
B_season,sentiment,2,Submit_Mobile,0.020805161278571353,0.02509438594683155,0.4070612194785751
B_season,sentiment,2,Season_Spring,-0.006578057932867058,0.013413560578006713,0.6238483541775007
B_season,sentiment,2,Season_Summer,-0.018062512537179387,0.014165392094838239,0.2022683261379581
B_season,sentiment,2,Season_Autumn,-0.010610937170931232,0.013552796217156864,0.4336662075690756
B_season,sentiment,2,Reviews_Given_z,-0.006309991287268366,0.0034919039730035356,0.07075688508515672
B_season,sentiment,2,TripType_Leisure:Submit_Mobile,-0.0017530559421643083,0.027557805293829698,0.9492777655018652
B_season,prevalence,3,Intercept,0.13048634456340422,0.03083051047148931,2.3123433993790624e-05
B_season,prevalence,3,Reviewer_Score_z,0.006088881763013466,0.005551367798571257,0.27271768065201296
B_season,prevalence,3,TripType_Leisure,0.0029329915024855595,0.026640366003406593,0.9123334259644521
B_season,prevalence,3,Comp_Group,-0.026773089466538325,0.016029565519846647,0.09487351809685557
B_season,prevalence,3,Comp_Solo,0.006730730698937906,0.01927230728168118,0.7269064081555037
B_season,prevalence,3,Comp_Family,0.015338594642281498,0.01976735001594701,0.43777494217839197
B_season,prevalence,3,Submit_Mobile,0.02861039427639554,0.03165742740307393,0.366128075991515
B_season,prevalence,3,Season_Spring,0.002321877803979423,0.01768266274256121,0.8955315416187795
B_season,prevalence,3,Season_Summer,-0.0010592616337438765,0.016596554198370625,0.9491102164379454
B_season,prevalence,3,Season_Autumn,0.03139023564477013,0.019063733162970265,0.0996414490096709
